time_after_step_us,Vout,Iload,N_active,IL1,QH1,IL2,QH2,IL3,QH3,IL4,QH4,phase_add_request,phase_add_accept,phase_add_reject,new_phase_ramp_state,balance_recovery_state,a_S_mode
-450,0.998197245192011,20,2,3.5911443204724e-08,0,3.59114432046961e-08,0,3.59114432046817e-08,0,3.59114432046403e-08,0,0,0,0,0,0,0
-449.99,0.998169763573482,20,2,0.000100036276715348,0,0.000100036276717768,0,0.000100036276715753,0,0.000100036276717068,0,0,0,0,0,0,0
-449.97,0.9980800501491,20,2,-0.0946717493330563,0,-0.0946717493330574,0,-0.0946717493330558,0,-0.0946717493330548,0,0,0,0,0,0,0
-449.948,0.997978175314837,20,2,-0.204274073535372,0,-0.204274073535374,0,-0.204274073535372,0,-0.204274073535373,0,0,0,0,0,0,0
-449.928,0.997884454623311,20,2,-0.303787756935496,0,-0.303787756935499,0,-0.303787756935497,0,-0.3037877569355,0,0,0,0,0,0,0
-449.906,0.99778014553828,20,2,-0.4131155674348,0,-0.413115567434806,0,-0.413115567434803,0,-0.41311556743481,0,0,0,0,0,0,0
-449.886,0.997684214758479,20,2,-0.512379748918514,0,-0.512379748918523,0,-0.512379748918518,0,-0.512379748918531,0,0,0,0,0,0,0
-449.864,0.997577477729192,20,2,-0.621433169168651,0,-0.621433169168664,0,-0.621433169168658,0,-0.621433169168678,0,0,0,0,0,0,0
-449.844,0.99747934259284,20,2,-0.720447961438736,0,-0.720447961438754,0,-0.720447961438746,0,-0.720447961438774,0,0,0,0,0,0,0
-449.822,0.997370183922568,20,2,-0.829227115931196,0,-0.829227115931219,0,-0.829227115931209,0,-0.829227115931247,0,0,0,0,0,0,0
-449.802,0.997269850158428,20,2,-0.927992632632351,0,-0.92799263263238,0,-0.927992632632368,0,-0.927992632632414,0,0,0,0,0,0,0
-449.78,0.997158276147178,20,2,-1.0364976468932,0,-1.03649764689323,0,-1.03649764689322,0,-1.03649764689328,0,0,0,0,0,0,0
-449.76,0.997055749481037,20,2,-1.13501400260924,0,-1.13501400260929,0,-1.13501400260927,0,-1.13501400260934,0,0,0,0,0,0,0
-449.738,0.996941766425526,20,2,-1.24324500319604,0,-1.24324500319609,0,-1.24324500319607,0,-1.24324500319615,0,0,0,0,0,0,0
-449.718,0.996837052580171,20,2,-1.34151231344712,0,-1.34151231344718,0,-1.34151231344716,0,-1.34151231344726,0,0,0,0,0,0,0
-449.696,0.996720666773807,20,2,-1.44946942794586,0,-1.44946942794593,0,-1.44946942794591,0,-1.44946942794602,0,0,0,0,0,0,0
-449.676,0.996613771469005,20,2,-1.54748780918568,0,-1.54748780918577,0,-1.54748780918574,0,-1.54748780918587,0,0,0,0,0,0,0
-449.654,0.99649498920186,20,2,-1.65517116620772,0,-1.65517116620781,0,-1.65517116620778,0,-1.65517116620793,0,0,0,0,0,0,0
