time_after_step_us,Vout,Iload,N_active,IL1,QH1,REQ_accept1,IL2,QH2,REQ_accept2,IL3,QH3,REQ_accept3,IL4,QH4,REQ_accept4,phase_shed_request,phase_shed_accept,phase_shed_reject,shed_state,shed_lockout_state,residual_current_check,order_relock_state,a_S_enable_after_shed,a_S_mode
-450,0.996394490384023,40,4,7.18228864093914e-08,0,0,7.18228864093635e-08,0,0,7.18228864093491e-08,0,0,7.18228864093076e-08,0,0,0,0,0,0,0,0,0,0,0
-449.99,0.996339460601576,40,4,0.000100072880274563,0,0,0.000100072880276978,0,0,0.000100072880274967,0,0,0.00010007288027628,0,0,0,0,0,0,0,0,0,0,0
-449.97,0.996194715245352,40,4,-0.0944951604314083,0,0,-0.0944951604314094,0,0,-0.0944951604314079,0,0,-0.0944951604314069,0,0,0,0,0,0,0,0,0,0,0
-449.948,0.996032313494744,40,4,-0.203887109079214,0,0,-0.203887109079216,0,0,-0.203887109079214,0,0,-0.203887109079215,0,0,0,0,0,0,0,0,0,0,0
-449.926,0.995868640766208,40,4,-0.313128850236442,0,0,-0.313128850236446,0,0,-0.313128850236443,0,0,-0.313128850236447,0,0,0,0,0,0,0,0,0,0,0
-449.906,0.995718745981035,40,4,-0.412309214026328,0,0,-0.412309214026334,0,0,-0.412309214026331,0,0,-0.412309214026339,0,0,0,0,0,0,0,0,0,0,0
-449.884,0.995552651852728,40,4,-0.521264312229411,0,0,-0.521264312229421,0,0,-0.521264312229416,0,0,-0.52126431222943,0,0,0,0,0,0,0,0,0,0,0
-449.862,0.995385291996759,40,4,-0.630069325584032,0,0,-0.630069325584046,0,0,-0.63006932558404,0,0,-0.630069325584061,0,0,0,0,0,0,0,0,0,0,0
-449.842,0.995232049832184,40,4,-0.728852770884618,0,0,-0.728852770884636,0,0,-0.728852770884629,0,0,-0.728852770884657,0,0,0,0,0,0,0,0,0,0,0
-449.82,0.995062278595105,40,4,-0.837371376610119,0,0,-0.837371376610143,0,0,-0.837371376610134,0,0,-0.837371376610171,0,0,0,0,0,0,0,0,0,0,0
-449.8,0.994906847252596,40,4,-0.935894522003683,0,0,-0.935894522003712,0,0,-0.9358945220037,0,0,-0.935894522003747,0,0,0,0,0,0,0,0,0,0,0
-449.778,0.994734671204162,40,4,-1.04412687582188,0,0,-1.04412687582192,0,0,-1.0441268758219,0,0,-1.04412687582196,0,0,0,0,0,0,0,0,0,0,0
-449.756,0.994561238113244,40,4,-1.15220935065434,0,0,-1.15220935065438,0,0,-1.15220935065437,0,0,-1.15220935065444,0,0,0,0,0,0,0,0,0,0,0
-449.736,0.994402482360401,40,4,-1.25033612198801,0,0,-1.25033612198806,0,0,-1.25033612198804,0,0,-1.25033612198812,0,0,0,0,0,0,0,0,0,0,0
-449.714,0.994226654461519,40,4,-1.35813258416064,0,0,-1.3581325841607,0,0,-1.35813258416068,0,0,-1.35813258416078,0,0,0,0,0,0,0,0,0,0,0
-449.692,0.994049574757589,40,4,-1.4657792932848,0,0,-1.46577929328487,0,0,-1.46577929328485,0,0,-1.46577929328497,0,0,0,0,0,0,0,0,0,0,0
-449.672,0.993887508445473,40,4,-1.56351002361525,0,0,-1.56351002361533,0,0,-1.56351002361531,0,0,-1.56351002361544,0,0,0,0,0,0,0,0,0,0,0
-449.65,0.993708043927645,40,4,-1.67087096168038,0,0,-1.67087096168047,0,0,-1.67087096168044,0,0,-1.67087096168059,0,0,0,0,0,0,0,0,0,0,0
-449.628,0.993527332837298,40,4,-1.77808227386402,0,0,-1.77808227386413,0,0,-1.77808227386409,0,0,-1.77808227386427,0,0,0,0,0,0,0,0,0,0,0
-449.608,0.993361969804002,40,4,-1.8754172995001,0,0,-1.87541729950022,0,0,-1.87541729950018,0,0,-1.87541729950037,0,0,0,0,0,0,0,0,0,0,0
-449.586,0.993178883884419,40,4,-1.98234308456753,0,0,-1.98234308456766,0,0,-1.98234308456762,0,0,-1.98234308456783,0,0,0,0,0,0,0,0,0,0,0
-449.564,0.992994556619901,40,4,-2.08911937214431,0,0,-2.08911937214446,0,0,-2.08911937214441,0,0,-2.08911937214465,0,0,0,0,0,0,0,0,0,0,0
